"participant" "timestamp" "task"
1 0.3379 "listening"
1 27.4856 "listening"
1 134.0769 "listening"
1 155.1918 "listening"
1 172.557 "listening"
1 187.7058 "listening"
1 194.5386 "listening"
1 210.0373 "listening"
2 4.309 "listening"
2 6.2254 "listening"
2 9.2585 "listening"
2 11.2489 "listening"
2 15.4654 "listening"
2 18.5151 "listening"
2 25.2479 "listening"
2 25.3979 "listening"
2 33.964 "listening"
2 36.2638 "listening"
2 37.497 "listening"
2 42.1133 "listening"
2 45.663 "listening"
2 49.3461 "listening"
2 56.6123 "listening"
2 60.1786 "listening"
2 61.3119 "listening"
2 62.2858 "listening"
2 63.4356 "listening"
2 64.4022 "listening"
2 68.7925 "listening"
2 72.3422 "listening"
2 74.0754 "listening"
2 77.0251 "listening"
2 78.2751 "listening"
2 79.3084 "listening"
2 79.4916 "listening"
2 83.1081 "listening"
2 84.7079 "listening"
2 88.2744 "listening"
2 88.491 "listening"
2 90.0242 "listening"
2 91.0907 "listening"
2 93.074 "listening"
2 93.7906 "listening"
2 95.7571 "listening"
2 96.8737 "listening"
2 98.6569 "listening"
2 99.9401 "listening"
2 100.7807 "listening"
2 102.2472 "listening"
2 109.9299 "listening"
2 113.913 "listening"
2 119.3292 "listening"
2 120.6624 "listening"
2 122.529 "listening"
2 124.2455 "listening"
2 125.7455 "listening"
2 128.6452 "listening"
2 131.8949 "listening"
2 135.778 "listening"
2 138.7611 "listening"
2 146.2273 "listening"
2 149.727 "listening"
2 152.9934 "listening"
2 157.3764 "listening"
2 159.6762 "listening"
2 163.4093 "listening"
2 163.7926 "listening"
2 167.9089 "listening"
2 169.8921 "listening"
2 171.192 "listening"
2 172.2752 "listening"
2 175.1917 "listening"
2 176.2749 "listening"
2 182.1818 "listening"
2 186.2315 "listening"
2 190.3312 "listening"
2 195.1808 "listening"
2 196.7473 "listening"
2 198.8972 "listening"
2 199.9638 "listening"
2 202.7303 "listening"
2 203.5469 "listening"
2 209.0964 "listening"
2 214.4294 "listening"
2 219.9123 "listening"
2 221.0788 "listening"
2 224.0287 "listening"
2 226.4118 "listening"
2 227.7855 "listening"
2 229.6854 "listening"
2 232.3686 "listening"
2 233.4352 "listening"
3 0.3199 "listening"
3 2.3198 "listening"
3 3.3364 "listening"
3 4.4363 "listening"
3 4.9862 "listening"
3 6.0861 "listening"
3 9.1026 "listening"
3 10.3358 "listening"
3 10.8024 "listening"
3 11.3691 "listening"
3 12.3857 "listening"
3 14.9521 "listening"
3 16.902 "listening"
3 18.8518 "listening"
3 20.8851 "listening"
3 23.2682 "listening"
3 23.8848 "listening"
3 25.4514 "listening"
3 26.268 "listening"
3 27.2512 "listening"
3 28.8677 "listening"
3 29.9843 "listening"
3 31.2842 "listening"
3 32.3342 "listening"
3 33.2174 "listening"
3 34.4007 "listening"
3 37.2505 "listening"
3 39.2003 "listening"
3 40.2002 "listening"
3 40.5836 "listening"
3 41.5668 "listening"
3 43.1501 "listening"
3 46.6998 "listening"
3 47.1498 "listening"
3 48.3496 "listening"
3 50.2661 "listening"
3 51.4161 "listening"
3 52.916 "listening"
3 53.4826 "listening"
3 55.4158 "listening"
3 56.7324 "listening"
3 57.1656 "listening"
3 59.5988 "listening"
3 61.5486 "listening"
3 63.3986 "listening"
3 65.2651 "listening"
3 68.1481 "listening"
3 69.698 "listening"
3 71.8479 "listening"
3 74.1643 "listening"
3 74.9477 "listening"
