,Activity-levels,Local_p,Surprise
1.0918,6.0,0.993,-2.151851208481124
8.7918,5.0,0.998,-2.6981005456233897
10.2918,6.0,0.997,-2.521573903591993
23.0918,6.0,0.993,-2.151851208481124
27.291800000000002,7.0,0.999,-2.999565488225982
27.3918,6.0,0.993,-2.151851208481124
27.4918,7.0,0.999,-2.999565488225982
33.3918,5.0,0.993,-2.151851208481124
33.5918,6.0,0.999,-2.999565488225982
33.9918,5.0,0.993,-2.151851208481124
41.8918,4.0,0.991,-2.04183114504595
49.3918,6.0,0.993,-2.151851208481124
49.491800000000005,8.0,0.999,-2.999565488225982
49.5918,6.0,0.998,-2.6981005456233897
49.6918,7.0,0.999,-2.999565488225982
80.39180000000002,6.0,0.997,-2.521573903591993
83.19180000000001,6.0,0.999,-2.999565488225982
83.29180000000001,6.0,0.998,-2.6981005456233897
83.39180000000002,6.0,0.998,-2.6981005456233897
83.5918,6.0,0.995,-2.2988530764097064
119.99180000000001,6.0,0.993,-2.151851208481124
120.0918,6.0,0.991,-2.04183114504595
125.79180000000001,6.0,0.994,-2.2192351340136693
126.5918,7.0,0.997,-2.521573903591993
126.69180000000001,7.0,0.995,-2.2988530764097064
132.39180000000002,7.0,0.999,-2.999565488225982
132.4918,7.0,0.995,-2.2988530764097064
132.5918,7.0,0.998,-2.6981005456233897
132.6918,7.0,0.994,-2.2192351340136693
133.39180000000002,6.0,0.991,-2.04183114504595
133.4918,6.0,0.991,-2.04183114504595
133.5918,6.0,0.991,-2.04183114504595
161.29180000000002,6.0,0.993,-2.151851208481124
161.39180000000002,6.0,0.993,-2.151851208481124
161.4918,7.0,0.996,-2.396199347095736
161.5918,6.0,0.991,-2.04183114504595
161.69180000000003,6.0,0.996,-2.396199347095736
173.9918,6.0,0.996,-2.396199347095736
181.4918,7.0,0.999,-2.999565488225982
181.79180000000002,7.0,0.998,-2.6981005456233897
181.89180000000002,8.0,0.999,-2.999565488225982
187.79180000000002,6.0,0.997,-2.521573903591993
187.89180000000002,6.0,0.998,-2.6981005456233897
192.9918,6.0,0.993,-2.151851208481124
226.19180000000003,7.0,0.999,-2.999565488225982
227.19180000000003,7.0,0.993,-2.151851208481124
227.29180000000002,8.0,0.997,-2.521573903591993
227.39180000000002,7.0,0.996,-2.396199347095736
237.19180000000003,7.0,0.998,-2.6981005456233897
237.29180000000002,7.0,0.999,-2.999565488225982
239.5918,7.0,0.999,-2.999565488225982
239.69180000000003,6.0,0.991,-2.04183114504595
246.39180000000002,6.0,0.992,-2.0934216851622347
257.0918,6.0,0.997,-2.521573903591993
264.1918,8.0,0.999,-2.999565488225982
264.29179999999997,8.0,0.999,-2.999565488225982
280.3918,6.0,0.994,-2.2192351340136693
280.4918,7.0,0.999,-2.999565488225982
280.5918,6.0,0.994,-2.2192351340136693
287.9918,5.0,0.993,-2.151851208481124
288.0918,5.0,0.992,-2.0934216851622347
297.6918,6.0,0.992,-2.0934216851622347
297.79179999999997,7.0,0.999,-2.999565488225982
301.6918,7.0,0.998,-2.6981005456233897
323.1918,6.0,0.993,-2.151851208481124
326.4918,6.0,0.992,-2.0934216851622347
329.1918,6.0,0.994,-2.2192351340136693
329.2918,8.0,0.999,-2.999565488225982
329.3918,7.0,0.999,-2.999565488225982
329.4918,7.0,0.997,-2.521573903591993
329.5918,7.0,0.999,-2.999565488225982
329.6918,6.0,0.995,-2.2988530764097064
347.7918,7.0,0.992,-2.0934216851622347
347.9918,8.0,0.997,-2.521573903591993
