"participant" "timestamp" "task"
1 4.0075 "listening"
1 14.19 "listening"
1 36.0715 "listening"
1 52.6369 "listening"
1 60.7695 "listening"
1 73.7518 "listening"
1 89.6837 "listening"
1 92.9168 "listening"
1 97.8498 "listening"
1 100.1662 "listening"
1 122.7643 "listening"
1 138.0631 "listening"
1 139.8796 "listening"
1 143.4959 "listening"
1 148.229 "listening"
1 169.6938 "listening"
1 172.8935 "listening"
1 174.0267 "listening"
1 175.0934 "listening"
1 176.8432 "listening"
1 177.7598 "listening"
1 179.4097 "listening"
1 181.6762 "listening"
1 183.6426 "listening"
1 194.2251 "listening"
1 200.9078 "listening"
1 201.9078 "listening"
1 214.4568 "listening"
1 225.1058 "listening"
1 237.8215 "listening"
1 244.0876 "listening"
2 0.9947 "listening"
2 1.5947 "listening"
2 4.4517 "listening"
2 6.3515 "listening"
2 7.818 "listening"
2 14.5676 "listening"
2 16.3008 "listening"
2 17.634 "listening"
2 36.0326 "listening"
2 49.4644 "listening"
2 52.9475 "listening"
2 60.0542 "listening"
2 63.8373 "listening"
2 94.5849 "listening"
2 98.1514 "listening"
2 99.9179 "listening"
2 105.858 "listening"
2 111.7743 "listening"
2 120.9402 "listening"
2 135.9891 "listening"
2 139.3888 "listening"
2 142.4719 "listening"
2 142.7053 "listening"
2 143.7551 "listening"
2 150.4379 "listening"
2 152.5878 "listening"
2 173.4695 "listening"
2 174.6195 "listening"
2 181.0596 "listening"
2 182.7761 "listening"
2 184.8426 "listening"
2 187.0424 "listening"
2 189.4589 "listening"
2 191.4255 "listening"
2 194.0752 "listening"
2 196.0584 "listening"
2 203.9745 "listening"
2 207.7076 "listening"
2 221.6638 "listening"
2 224.0803 "listening"
2 225.2635 "listening"
2 226.53 "listening"
2 227.38 "listening"
2 250.795 "listening"
3 0.6792 "listening"
3 1.0958 "listening"
3 3.3123 "listening"
3 4.329 "listening"
3 5.5122 "listening"
3 6.4121 "listening"
3 7.6454 "listening"
3 8.1454 "listening"
3 9.6952 "listening"
3 11.3285 "listening"
3 12.5283 "listening"
3 14.3616 "listening"
3 15.3282 "listening"
3 16.778 "listening"
3 18.0113 "listening"
3 19.6111 "listening"
3 21.3444 "listening"
3 22.061 "listening"
3 25.9107 "listening"
3 27.7439 "listening"
3 31.0436 "listening"
3 31.727 "listening"
3 34.5433 "listening"
3 35.0601 "listening"
3 37.8432 "listening"
3 38.6098 "listening"
3 40.8595 "listening"
3 44.3426 "listening"
3 45.7926 "listening"
3 48.6257 "listening"
3 50.3089 "listening"
3 52.142 "listening"
3 53.1254 "listening"
3 53.9253 "listening"
3 56.8083 "listening"
3 69.3241 "listening"
3 76.9568 "listening"
3 77.5735 "listening"
3 78.7567 "listening"
3 79.5733 "listening"
3 80.6233 "listening"
3 82.2732 "listening"
3 83.1064 "listening"
3 83.923 "listening"
3 85.123 "listening"
3 85.8562 "listening"
3 86.8395 "listening"
3 88.6393 "listening"
3 89.9058 "listening"
3 90.7058 "listening"
3 92.0058 "listening"
3 94.6723 "listening"
3 96.5387 "listening"
3 98.272 "listening"
3 99.8551 "listening"
3 100.6218 "listening"
3 102.2717 "listening"
3 103.0049 "listening"
3 105.8046 "listening"
3 107.8712 "listening"
3 110.1877 "listening"
3 112.3542 "listening"
3 114.3874 "listening"
3 117.5205 "listening"
3 118.7204 "listening"
3 120.2536 "listening"
3 121.6202 "listening"
3 124.6366 "listening"
3 127.2198 "listening"
3 131.9195 "listening"
3 134.4526 "listening"
3 136.0192 "listening"
3 137.2857 "listening"
3 137.8523 "listening"
3 139.7689 "listening"
3 140.2355 "listening"
3 142.4853 "listening"
3 143.5019 "listening"
3 144.2185 "listening"
3 145.2184 "listening"
3 146.3017 "listening"
3 147.5015 "listening"
3 149.3349 "listening"
3 150.7346 "listening"
3 151.518 "listening"
3 153.1678 "listening"
3 154.3011 "listening"
3 155.3843 "listening"
3 156.8342 "listening"
3 158.1842 "listening"
