,Activity-levels,Local_p,Surprise
0.055,2.0,0.9823333333333333,-1.7451042662491347
0.455,5.0,0.9643333333333334,-1.431964655962774
0.555,5.0,0.9666666666666667,-1.462397997898956
0.6550000000000001,7.0,0.9993333333333333,-3.175801632848255
0.7550000000000001,7.0,0.9983333333333333,-2.7774268223893013
0.8550000000000001,7.0,0.9983333333333333,-2.7774268223893013
0.9550000000000001,6.0,0.993,-2.151851208481124
1.055,7.0,0.9986666666666667,-2.874481817699478
1.155,6.0,0.99,-1.9956351945975495
1.2550000000000001,7.0,0.9983333333333333,-2.7774268223893013
1.355,6.0,0.9883333333333333,-1.927956653350004
1.455,7.0,0.9976666666666667,-2.631008676825941
1.555,5.0,0.9576666666666667,-1.3545319050359905
3.4550000000000005,5.0,0.957,-1.3474434821972565
5.055,0.0,0.033666666666666664,1.457926841572355
5.155,0.0,0.03266666666666666,1.4714713324092223
5.255,0.0,0.030333333333333334,1.5047023289259656
5.355,0.0,0.036333333333333336,1.4236215937300343
5.455,0.0,0.035666666666666666,1.4319646559627732
5.555,0.0,0.038,1.4033914754210028
7.355,4.0,0.9576666666666667,-1.3545319050359905
7.455,4.0,0.955,-1.3267908578084022
9.255,4.0,0.985,-1.81734497144193
9.555,4.0,0.9856666666666667,-1.837382868946532
9.655000000000001,5.0,0.9976666666666667,-2.631008676825941
9.755,4.0,0.9846666666666667,-1.8076526592943574
9.855,4.0,0.9846666666666667,-1.8076526592943574
10.855,4.0,0.9586666666666667,-1.3653671965486098
10.955,4.0,0.9636666666666667,-1.4236215937300343
14.755,4.0,0.9696666666666667,-1.5047023289259658
14.855,4.0,0.9696666666666667,-1.5047023289259658
14.955,4.0,0.9693333333333334,-1.4998065748414457
15.055,5.0,0.9923333333333333,-2.1120509986291296
15.155000000000001,5.0,0.9923333333333333,-2.1120509986291296
15.255,4.0,0.968,-1.4807253789884873
15.355,4.0,0.976,-1.6092385759550853
15.455,5.0,0.9936666666666667,-2.195608375079804
15.755,4.0,0.9676666666666667,-1.476075301565429
15.855,4.0,0.9663333333333334,-1.4579268415723554
17.755,4.0,0.9573333333333334,-1.3509744659223948
17.855,5.0,0.991,-2.04183114504595
17.955000000000002,5.0,0.991,-2.04183114504595
22.355,4.0,0.9683333333333334,-1.4854225314375025
22.455000000000002,5.0,0.9943333333333333,-2.2442043319837857
22.555,5.0,0.9923333333333333,-2.1120509986291296
22.655,4.0,0.966,-1.4534982093732378
22.755000000000003,5.0,0.9953333333333333,-2.328961767710765
24.155,4.0,0.983,-1.7621045964538613
24.355,4.0,0.9773333333333334,-1.634655053262855
24.555,4.0,0.9716666666666667,-1.5352196333807404
27.755000000000003,4.0,0.987,-1.8803738003627997
33.055,4.0,0.9736666666666667,-1.5679044656831085
33.155,4.0,0.973,-1.5567490761093643
33.255,4.0,0.9723333333333334,-1.5458583367456595
35.455,5.0,0.9876666666666667,-1.903529927413057
37.255,4.0,0.954,-1.3167905430225206
37.355000000000004,5.0,0.9883333333333333,-1.927956653350004
37.455,7.0,0.9993333333333333,-3.175801632848255
37.555,6.0,0.9976666666666667,-2.631008676825941
37.655,7.0,0.9996666666666667,-3.476976465759575
37.755,5.0,0.9833333333333333,-1.770852011642143
40.455000000000005,0.0,0.046,1.316790543022521
40.655,0.0,0.044,1.3370052157899126
42.355000000000004,5.0,0.9843333333333333,-1.7981655890293595
42.455000000000005,6.0,0.9986666666666667,-2.874481817699478
42.555,5.0,0.991,-2.04183114504595
42.655,5.0,0.994,-2.2192351340136693
42.955000000000005,4.0,0.9643333333333334,-1.431964655962774
43.055,4.0,0.963,-1.415424563057539
43.155,4.0,0.9583333333333334,-1.3617278360175933
43.255,4.0,0.9626666666666667,-1.41137916622742
44.355000000000004,4.0,0.9616666666666667,-1.3994479771381385
44.455000000000005,5.0,0.9953333333333333,-2.328961767710765
44.555,4.0,0.968,-1.4807253789884873
44.655,5.0,0.9953333333333333,-2.328961767710765
44.755,4.0,0.9726666666666667,-1.5512714351737162
45.055,4.0,0.9763333333333334,-1.6154610229625244
45.155,4.0,0.972,-1.540508233584055
48.255,4.0,0.9803333333333333,-1.697643012864924
48.355000000000004,4.0,0.9796666666666667,-1.682869751061846
48.455000000000005,4.0,0.975,-1.5910646070264989
50.155,4.0,0.9813333333333333,-1.7207497786592596
50.255,4.0,0.986,-1.8477488792629728
50.355000000000004,4.0,0.983,-1.7621045964538613
53.155,4.0,0.981,-1.7129154064271193
53.255,4.0,0.977,-1.6281667277011798
53.355000000000004,4.0,0.9793333333333333,-1.6756601019559827
57.055,4.0,0.9783333333333334,-1.6546947489407788
60.755,4.0,0.9916666666666667,-2.0755469613925324
60.855000000000004,5.0,0.9993333333333333,-3.175801632848255
60.955000000000005,4.0,0.9906666666666667,-2.02589077374632
61.055,4.0,0.9886666666666667,-1.9406922296501092
61.155,5.0,0.9983333333333333,-2.7774268223893013
67.855,3.0,0.956,-1.3370052157899122
67.95500000000001,4.0,0.9936666666666667,-2.195608375079804
71.45500000000001,4.0,0.9743333333333334,-1.5793380901849554
72.855,4.0,0.9826666666666667,-1.7535241355522153
74.25500000000001,4.0,0.9756666666666667,-1.6030998623133363
74.355,4.0,0.9786666666666667,-1.6615760772601462
74.45500000000001,4.0,0.9753333333333334,-1.5970426020583168
74.555,4.0,0.9706666666666667,-1.519708698490831
79.15500000000002,4.0,0.969,-1.4949620832164923
79.25500000000001,4.0,0.967,-1.4669125342051137
79.35500000000002,4.0,0.9693333333333334,-1.4998065748414457
79.45500000000001,4.0,0.969,-1.4949620832164923
79.555,4.0,0.968,-1.4807253789884873
80.65500000000002,4.0,0.97,-1.509650479546582
89.45500000000001,3.0,0.9626666666666667,-1.41137916622742
89.555,4.0,0.993,-2.151851208481124
89.65500000000002,4.0,0.993,-2.151851208481124
89.75500000000001,4.0,0.9936666666666667,-2.195608375079804
89.85500000000002,3.0,0.953,-1.3069950427026085
94.555,4.0,0.9883333333333333,-1.927956653350004
94.65500000000002,6.0,0.9996666666666667,-3.476976465759575
94.75500000000001,7.0,0.9996666666666667,-3.476976465759575
94.85500000000002,6.0,0.9996666666666667,-3.476976465759575
94.95500000000001,5.0,0.999,-2.999565488225982
95.055,4.0,0.9896666666666667,-1.981248503761773
96.555,4.0,0.982,-1.7368389826836432
96.65500000000002,4.0,0.9803333333333333,-1.697643012864924
96.75500000000001,4.0,0.9783333333333334,-1.6546947489407788
96.85500000000002,5.0,0.9936666666666667,-2.195608375079804
96.95500000000001,4.0,0.9713333333333334,-1.5299910961904044
99.555,4.0,0.9626666666666667,-1.41137916622742
99.65500000000002,4.0,0.959,-1.3690347504509277
99.75500000000001,4.0,0.9686666666666667,-1.4901677563623041
101.15500000000002,4.0,0.9696666666666667,-1.5047023289259658
101.25500000000001,4.0,0.9696666666666667,-1.5047023289259658
105.75500000000001,4.0,0.9616666666666667,-1.3994479771381385
