,Activity-levels,Local_p,Surprise
1.3510000000000002,8.0,0.992,-2.0934216851622347
1.4510000000000003,8.0,0.995,-2.2988530764097064
1.5510000000000002,9.0,0.998,-2.6981005456233897
1.6510000000000002,9.0,0.999,-2.999565488225982
1.9510000000000003,8.0,0.991,-2.04183114504595
7.651000000000002,7.0,0.995,-2.2988530764097064
14.751000000000003,6.0,0.996,-2.396199347095736
15.951000000000004,6.0,0.994,-2.2192351340136693
16.251,6.0,0.992,-2.0934216851622347
21.551000000000002,6.0,0.998,-2.6981005456233897
21.651000000000003,5.0,0.993,-2.151851208481124
30.551000000000005,6.0,0.991,-2.04183114504595
36.05100000000001,6.0,0.994,-2.2192351340136693
41.15100000000001,5.0,0.994,-2.2192351340136693
41.25100000000001,6.0,0.997,-2.521573903591993
41.35100000000001,6.0,0.997,-2.521573903591993
41.45100000000001,6.0,0.999,-2.999565488225982
41.55100000000001,5.0,0.997,-2.521573903591993
52.951000000000015,5.0,0.991,-2.04183114504595
53.05100000000001,5.0,0.991,-2.04183114504595
53.15100000000001,7.0,0.999,-2.999565488225982
53.25100000000001,7.0,0.999,-2.999565488225982
63.951000000000015,5.0,0.991,-2.04183114504595
79.95100000000002,5.0,0.992,-2.0934216851622347
80.05100000000002,5.0,0.992,-2.0934216851622347
80.15100000000001,6.0,0.997,-2.521573903591993
90.25100000000002,6.0,0.997,-2.521573903591993
90.45100000000002,6.0,0.994,-2.2192351340136693
90.55100000000002,6.0,0.993,-2.151851208481124
100.25100000000002,6.0,0.993,-2.151851208481124
108.15100000000002,6.0,0.994,-2.2192351340136693
111.95100000000002,6.0,0.994,-2.2192351340136693
112.05100000000003,7.0,0.999,-2.999565488225982
112.25100000000002,6.0,0.992,-2.0934216851622347
119.15100000000002,6.0,0.996,-2.396199347095736
119.25100000000002,6.0,0.998,-2.6981005456233897
119.35100000000003,7.0,0.999,-2.999565488225982
125.45100000000002,6.0,0.991,-2.04183114504595
134.95100000000002,6.0,0.997,-2.521573903591993
135.05100000000002,6.0,0.996,-2.396199347095736
143.95100000000002,7.0,0.996,-2.396199347095736
144.05100000000002,7.0,0.995,-2.2988530764097064
150.95100000000002,6.0,0.994,-2.2192351340136693
151.05100000000002,6.0,0.996,-2.396199347095736
156.45100000000002,6.0,0.993,-2.151851208481124
158.151,6.0,0.998,-2.6981005456233897
163.151,5.0,0.991,-2.04183114504595
163.25100000000003,5.0,0.992,-2.0934216851622347
163.35100000000003,5.0,0.991,-2.04183114504595
163.651,5.0,0.995,-2.2988530764097064
166.25100000000003,6.0,0.998,-2.6981005456233897
166.35100000000003,6.0,0.997,-2.521573903591993
174.95100000000002,7.0,0.992,-2.0934216851622347
175.05100000000002,7.0,0.991,-2.04183114504595
184.25100000000003,7.0,0.998,-2.6981005456233897
196.05100000000002,6.0,0.996,-2.396199347095736
196.15100000000004,6.0,0.993,-2.151851208481124
201.35100000000003,6.0,0.994,-2.2192351340136693
218.35100000000003,5.0,0.994,-2.2192351340136693
224.65100000000004,7.0,0.997,-2.521573903591993
225.15100000000004,7.0,0.997,-2.521573903591993
227.35100000000003,7.0,0.998,-2.6981005456233897
227.45100000000002,7.0,0.996,-2.396199347095736
227.55100000000004,7.0,0.998,-2.6981005456233897
238.45100000000002,6.0,0.991,-2.04183114504595
244.55100000000004,7.0,0.999,-2.999565488225982
244.65100000000004,7.0,0.999,-2.999565488225982
